Sample #,d13C ,d18O,d13C SD,d18O SD,Milled?,Date,Year,Boat,Location; Lat/Long,CFL in,CFL,Bin,Dressed Weight (lbs),Round Weight (lbs),Round Weight (kg),Sex,# Otoliths Present,Lf Oto (Y/N),Rt Oto (Y/N),Lf Oto Condition,Rt Oto Condition,Lf Oto Weight (g),Rt Oto Weight (g),Lf Oto Length (cm),Lf Oto Width (cm),Rt Oto Length (cm),Rt Oto Width (cm),Otolith Aged
183-2010,-7.24,-0.86,0.02,0.005,y,9/15/2010,2010,,,97,246.38,200-249,389,486.25,220.563,,2,Y,Y,Whole,Whole,0.2096,0.1976,1.883,0.531,1.792,0.509,R
066-2010,-6.97,-1.27,0.006,0.057,y,8/11/2010,2010,Currency,,97,246.38,200-249,396,495,224.532,,2,Y,Y,Whole,Broken tip (pieces included),0.1735,0.1603,2.024,0.493,NA,0.464,R
307-2010,-7.11,-1.18,0.03,0.085,y,8/31/2010,2010,,,98,248.92,200-249,,,,F,2,Y,Y,Whole,Broken tip,0.1935,NA,1.883,0.493,NA,0.488,L
059-2010,-7.69,-0.75,0.045,0.025,y,8/10/2010,2010,Lady Skye,,98,248.92,200-249,437,546.25,247.779,,2,Y,Y,Whole,Whole,0.1615,0.1636,1.8,0.435,1.835,0.464,L
128-2010,-7.39,-0.79,0.007,0.032,y,9/7/2010,2010,Dixie Lynn,,98,248.92,200-249,356,445,201.852,,2,Y,Y,Whole,Whole,0.1955,0.184,1.796,0.553,1.787,0.499,R
013-2010,-7.6,-0.67,0.023,0.006,y,7/27/2010,2010,Dixie Lynn,,99,251.46,250-300,409,511.25,231.903,M,2,Y,Y,Broken tip,Broken tip,NA,NA,1.699,0.477,1.723,0.475,L
050-2010,-7.6,-1.15,0.019,0.094,y,8/9/2010,2010,Saga II,,99,251.46,250-300,425,531.25,240.975,,2,Y,Y,Whole,Broken tip (pieces included),0.1656,0.1622,1.835,0.523,NA,0.517,L
210-2010,-7.56,-1.3,0.017,0.012,y,9/12/2010,2010,Sea Dancer,,99,251.46,250-300,383,478.75,217.161,,2,Y,Y,Whole,Whole,0.2571,0.2445,2.221,0.493,2.112,0.477,L
204-2010,-7.42,-0.83,0.037,0.007,y,9/12/2010,2010,Barbara O,,99,251.46,250-300,404,505,229.068,,2,Y,Y,Broken tip (pieces included),Whole,0.2431,0.2311,NA,0.507,2.024,0.541,R
001-2010,-7.26,-1.13,0.005,0.081,y,7/25/2010,2010,Last One Too,,99,251.46,250-300,405,506.25,229.635,,2,Y,Y,Broken tip,Broken tip (pieces included),NA,0.2191,NA,0.539,NA,0.536,R
