Sample #,d13C ,d18O,d13C SD,d18O SD,Milled?,Date,Year,Boat,Location; Lat/Long,CFL in,CFL,Bin,Dressed Weight (lbs),Round Weight (lbs),Round Weight (kg),Sex,# Otoliths Present,Lf Oto (Y/N),Rt Oto (Y/N),Lf Oto Condition,Rt Oto Condition,Lf Oto Weight (g),Rt Oto Weight (g),Lf Oto Length (cm),Lf Oto Width (cm),Rt Oto Length (cm),Rt Oto Width (cm),Otolith Aged
211-2010,-8.37,-0.58,0.028,0.022,y,9/9/2010,2010,Tammy Rose,,53,134.62,100-149,,,,,2,Y,Y,Whole,Whole,0.0681,0.0705,1.349,0.376,1.389,0.373,R
203-2010,-7.06,-1.19,0.029,0.087,y,8/27/2010,2010,Tammy Rose,,55,139.7,100-149,,,,,2,Y,Y,Broken tip,Broken tip,NA,NA,NA,0.346,NA,0.333,R
316-2010,-7.7,-0.63,0.025,0.019,y,8/14/2010,2010,,,68.8976378,175,150-199,,,,M,2,Y,Y,Whole,Broken tip (pieces included),0.096,0.0993,1.568,0.413,NA,0.413,R
247-2010,-9.32,-1.08,0.016,0.035,y,10/17/2010,2010,Dixie Lynn,,73,185.42,150-199,165,206.25,93.555,,2,Y,Y,Whole,Whole,0.117,0.1151,1.544,0.45,1.571,0.461,R
116-2010,-8.35,-1.2,0.021,0.045,y,8/31/2010,2010,Frank L Randall,,73,185.42,150-199,171,213.75,96.957,F,2,Y,Y,Broken tip,Whole,0.0978,0.0977,1.424,0.428,1.488,0.424,L
131-2010,-8.08,-0.84,0.038,0.024,y,9/6/2010,2010,Sarah Kelly,,73,185.42,150-199,148,185,83.916,,2,Y,Y,Whole,Whole,0.0979,0.094,1.499,0.408,1.493,0.424,L
179-2010,-8.01,-0.77,0.004,0.039,y,9/18/2010,2010,Sarah Beth,,73,185.42,150-199,153,191.25,86.751,M,2,Y,Y,Whole,Whole,0.1176,0.1112,1.589,0.461,1.653,0.443,L
047-2010,-7.95,-0.8,0.045,0.021,y,8/6/2010,2010,,,73,185.42,150-199,142,177.5,80.514,,2,Y,Y,Broken tip,Whole,NA,0.0944,NA,0.443,1.642,0.429,L
276-2010,-7.95,-1.53,0.03,0.011,y,7/7/2010,2010,Mayflower,,73,185.42,150-199,147,183.75,83.349,,2,Y,Y,Whole,Whole,0.1114,0.1089,1.544,0.403,1.581,0.411,L
275-2010,-7.92,-1.14,0.012,0.083,y,7/15/2010,2010,Toro,,73,185.42,150-199,128,160,72.576,,2,Y,Y,Whole,Broken tip,0.1026,NA,1.536,0.421,NA,0.423,L
202-2010,-7.81,-0.87,0.003,0.07,y,9/20/2010,2010,Janice Marie,,73,185.42,150-199,162,202.5,91.854,,2,Y,Y,Whole,Whole,0.1162,0.1191,1.76,0.416,1.781,0.413,L
130-2010,-7.7,-0.81,0.008,0.055,y,9/6/2010,2010,Sandy Lynn,,73,185.42,150-199,163,203.75,92.421,,2,Y,Y,Whole,Whole,0.1013,0.1005,1.638,0.432,1.649,0.437,R
029-2010,-7.68,-0.97,0.021,0.005,y,8/1/2010,2010,Merlin,,73,185.42,150-199,163,203.75,92.421,M,2,Y,Y,Whole,Broken tip (pieces included),0.0983,0.1007,1.477,0.408,NA,3.627,R
035-2010,-7.67,-0.87,0.045,0.043,y,8/4/2010,2010,Sandy Lynn,,73,185.42,150-199,174,217.5,98.658,M,2,Y,Y,Whole,Whole,0.1053,0.106,1.573,0.437,1.169,0.403,L
115-2010,-7.64,-0.8,0.033,0.057,y,8/28/2010,2010,Mary Joseph,,73,185.42,150-199,172,215,97.524,,2,Y,Y,Whole,Broken tip,0.1208,NA,1.72,0.419,NA,0.443,L
053-2010,-7.6,-0.93,0.011,0.021,y,8/9/2010,2010,Mary Joseph,,73,185.42,150-199,160,200,90.72,,2,Y,Y,Whole,Whole,0.0985,0.0968,1.493,0.424,1.549,0.448,L
111-2010,-7.58,-0.98,0.022,0.029,y,8/27/2010,2010,Jamie Girl,,73,185.42,150-199,167,208.75,94.689,,2,Y,Y,Whole,Whole,0.0924,0.0923,1.525,0.149,1.547,0.419,L
271-2010,-7.57,-0.91,0.008,0.011,y,10/21/2010,2010,Melanie Jeanne,,73,185.42,150-199,191,238.75,108.297,,2,Y,Y,Whole,Whole,0.1147,0.1151,1.755,0.445,1.803,0.432,L
226-2010,-7.56,-0.85,0.049,0.014,y,9/26/2010,2010,Josh Pride,,73,185.42,150-199,164,205,92.988,M,2,Y,Y,Broken tip,Broken tip,NA,NA,1.415,0.392,1.394,0.382,L
141-2010,-7.54,-0.96,0.049,0.097,y,9/2/2010,2010,Sandy Lynn,,73,185.42,150-199,178,222.5,100.926,,2,Y,Y,Whole,Whole,0.1092,0.1007,1.632,0.481,1.643,0.459,L
246-2010,-7.43,-0.71,0.028,0.051,y,10/14/2010,2010,Janice Marie,,73,185.42,150-199,167,208.75,94.689,,2,Y,Y,Broken tip,Broken tip,NA,NA,NA,0.453,NA,0.461,R
176-2010,-7.43,-0.8,0.004,0.014,y,9/12/2010,2010,Dixie Lynn,,73,185.42,150-199,172,215,97.524,F,2,Y,Y,Whole,Whole,0.1087,0.1105,1.595,0.427,1.643,0.416,R
181-2010,-7.3,-1.1,0.017,0.037,y,9/15/2010,2010,,,73,185.42,150-199,150,187.5,85.05,,2,Y,Y,Whole,Whole,0.0954,0.0918,1.605,0.405,1.587,0.4,R
031-2010,-7.3,-0.7,0.042,0.09,y,8/3/2010,2010,Barbara F,,73,185.42,150-199,158,197.5,89.586,M,2,Y,Y,Whole,Whole,0.0922,0.0908,1.475,0.408,1.512,0.416,R
185-2010,-7.3,-0.72,0.01,0.046,y,9/15/2010,2010,,,73,185.42,150-199,157,196.25,89.019,,2,Y,Y,Broken tip (pieces included),Broken tip (pieces included),0.0891,0.0894,NA,0.419,NA,0.394,L
331-2010,-7.28,-1.08,0.006,0.046,y,6/23/2010,2010,Seabrook,,73,185.42,150-199,,,,,2,Y,Y,Broken tip (pieces included),Whole,0.0935,0.0901,NA,0.384,1.568,0.379,L
093-2010,-7.07,-0.9,0.043,0.036,y,8/22/2010,2010,Carol Ann,,73,185.42,150-199,173,216.25,98.091,,2,Y,Y,Whole,Whole,0.133,0.134,1.789,0.464,1.8,0.453,L
239-2010,-8.77,-0.73,0.036,0.042,y,10/18/2010,2010,Janice Marie,,74,187.96,150-199,174,217.5,98.658,,2,Y,Y,Whole,Whole,0.1027,0.1034,1.643,0.435,1.629,0.421,R
107-2010,-8.51,-0.99,0.024,0.007,y,8/29/2010,2010,Patricia Elaine,,74,187.96,150-199,163,203.75,92.421,,2,Y,Y,Whole,Whole,0.1202,0.1186,1.685,0.4,1.672,0.427,L
242-2010,-8,-0.94,0.013,0.092,y,10/12/2010,2010,Dixie Lynn,,74,187.96,150-199,186,232.5,105.462,,2,Y,Y,Whole,Whole,0.1243,0.1147,1.559,0.467,1.661,0.451,R
055-2010,-7.97,-0.84,0.035,0.055,y,8/9/2010,2010,Sooner or Later,,74,187.96,150-199,161,201.25,91.287,,2,Y,Y,Whole,Whole,0.1269,0.1244,1.563,0.44,1.587,0.443,R
194-2010,-7.95,-0.85,0.041,0.066,y,9/19/2010,2010,Mystique Lady,,74,187.96,150-199,158,197.5,89.586,,2,Y,Y,Broken tip,Whole,NA,0.1048,1.552,0.443,1.631,0.443,R
274-2010,-7.86,-1.4,0.046,0.027,y,7/5/2010,2010,Sea Bait,,74,187.96,150-199,144,180,81.648,,2,Y,Y,Whole,Broken tip (pieces included),0.1178,0.1087,1.664,0.423,NA,0.437,R
166-2010,-7.82,-0.99,0.028,0.007,y,9/12/2010,2010,,,74,187.96,150-199,194,242.5,109.998,,2,Y,Y,Whole,Whole,0.1374,0.141,1.757,0.435,1.788,0.443,R
201-2010,-7.82,-1.14,0.01,0.046,y,9/20/2010,2010,Janice Marie,,74,187.96,150-199,166,207.5,94.122,,2,Y,Y,Whole,Whole,0.1153,0.1073,1.632,0.437,1.635,0.413,R
122-2010,-7.81,-0.89,0.014,0.03,y,8/30/2010,2010,Last One Too,,74,187.96,150-199,198,247.5,112.266,F,2,Y,Y,Whole,Whole,0.1203,0.1138,1.72,0.408,1.709,0.437,L
090-2010,-7.78,-0.92,0.045,0.032,y,8/18/2010,2010,Katie Z,,74,187.96,150-199,156,195,88.452,,2,Y,Y,Whole,Whole,0.1151,0.1199,1.747,0.416,1.749,0.44,L
159-2010,-7.76,-0.95,0.014,0.03,y,9/14/2010,2010,Mystique Lady,,74,187.96,150-199,168,210,95.256,,2,Y,Y,Whole,Whole,0.1038,0.1085,1.549,0.444,1.592,0.448,L
323-2010,-7.72,-0.84,0.021,0.056,y,6/21/2010,2010,,,74,187.96,150-199,165,206.25,93.555,,2,Y,Y,Whole,Whole,0.1093,0.1088,1.603,0.448,1.645,0.421,R
269-2010,-7.57,-0.76,0.013,0.022,y,10/24/2010,2010,Mary Joseph,,74,187.96,150-199,164,205,92.988,,2,Y,Y,Whole,Broken tip,0.1154,NA,1.672,0.443,NA,0.421,L
273-2010,-7.57,-1.05,0.002,0.044,y,10/20/2010,2010,Patricia Elaine,,74,187.96,150-199,175,218.75,99.225,,2,Y,Y,Whole,Whole,0.1172,0.1162,1.584,0.451,1.587,0.443,L
075-2010,-7.41,-0.6,0.017,0.023,y,8/14/2010,2010,Lucy J,,74,187.96,150-199,179,223.75,101.493,,2,Y,Y,Whole,Whole,0.1077,0.1116,1.592,0.413,1.621,0.424,R
325-2010,-7.35,-0.78,0.023,0.07,y,6/21/2010,2010,,,74,187.96,150-199,165,206.25,93.555,,2,Y,Y,Broken tip,Whole,NA,0.1536,NA,0.517,1.766,0.461,R
213-2010,-7.28,-0.9,0.029,0.052,y,Sep-10,2010,Robert Fitzpatrick,,74,187.96,150-199,,,,,2,Y,Y,Whole,Whole,0.1116,0.11,1.658,0.4,1.661,0.424,L
158-2010,-7.26,-1.29,0.019,0.06,y,9/11/2010,2010,,,74,187.96,150-199,145,181.25,82.215,M,2,Y,Y,Whole,Whole,0.1003,0.1958,1.48,0.456,1.483,0.437,L
169-2010,-7.23,-0.85,0.012,0.024,y,9/13/2010,2010,,,74,187.96,150-199,180,225,102.06,,2,Y,Y,Whole,Whole,0.0935,0.0953,1.445,0.418,1.494,0.411,R
170-2010,-7.03,-1.13,0.007,0.044,y,9/11/2010,2010,,,74,187.96,150-199,172,215,97.524,M,2,Y,Y,Whole,Broken tip,0.1011,NA,1.617,0.372,NA,0.392,R
256-2010,-8.92,-1.02,0.004,0.069,y,10/26/2010,2010,Nantucket Fish,,74.5,189.23,150-199,173,216.25,98.091,,2,Y,Y,Whole,Whole,0.1052,0.1006,1.619,0.419,1.635,0.416,L
091-2010,-8.03,-1.06,0.035,0.021,y,8/18/2010,2010,Last One Too,,75,190.5,150-199,166,207.5,94.122,,2,Y,Y,Whole,Whole,0.1109,0.1052,1.613,0.424,1.647,0.421,R
245-2010,-8.02,-0.87,0.015,0.021,y,10/10/2010,2010,Last One Too,,75,190.5,150-199,177,221.25,100.359,M,2,Y,Y,Whole,Whole,0.1244,0.1221,1.701,0.432,1.755,0.432,L
148-2010,-8,-1.25,0.016,0.018,y,9/5/2010,2010,Felcia Ann,,75,190.5,150-199,187,233.75,106.029,,2,Y,Y,Whole,Whole,0.119,0.1186,1.648,0.414,1.662,0.408,L
268-2010,-7.91,-0.61,0.008,0.009,y,10/24/2010,2010,Patricia Elaine,,75,190.5,150-199,165,206.25,93.555,,2,Y,Y,Whole,Whole,0.0991,0.1043,1.48,0.413,1.496,0.445,L
224-2010,-7.76,-0.84,0.052,0.039,y,10/3/2010,2010,Mar+Lin,,75,190.5,150-199,179,223.75,101.493,,2,Y,Y,Whole,Whole,0.1094,0.1072,1.677,0.435,1.664,0.416,L
184-2010,-7.72,-0.69,0.018,0.053,y,9/15/2010,2010,Dixie Lynn,,75,190.5,150-199,174,217.5,98.658,F,2,Y,Y,Whole,Whole,0.0923,0.0943,1.58,0.379,1.672,0.384,R
108-2010,-7.64,-0.73,0.033,0.05,y,8/28/2010,2010,Jamie Girl,,75,190.5,150-199,169,211.25,95.823,F,2,Y,Y,Whole,Whole,0.1092,0.1103,1.573,0.435,1.653,0.44,R
240-2010,-7.42,-1.16,0.032,0.012,y,10/18/2010,2010,Dixie Lynn,,75,190.5,150-199,190,237.5,107.73,,2,Y,Y,Whole,Whole,0.0985,0.1047,1.621,0.408,1.651,0.416,L
156-2010,-7.29,-1.27,0.015,0.034,y,9/13/2010,2010,,,75,190.5,150-199,189,236.25,107.163,,2,Y,Y,Whole,Whole,0.1158,0.1095,1.632,0.427,1.584,0.427,R
064-2010,-7.28,-0.98,0.023,0.03,y,8/11/2010,2010,Compadre,,75,190.5,150-199,166,207.5,94.122,,2,Y,Y,Whole,Whole,0.1214,0.1244,1.621,0.491,1.643,0.48,R
244-2010,-8.06,-0.87,0.024,0.008,y,10/11/2010,2010,Dixie Lynn,,76,193.04,150-199,208,260,117.936,M,2,Y,Y,Whole,Whole,0.1008,0.1045,1.608,0.403,1.656,0.411,R
260-2010,-7.66,-0.85,0.033,0.018,y,10/25/2010,2010,Nantucket Fish,,76,193.04,150-199,192,240,108.864,,2,Y,Y,Whole,Broken tip,0.1146,NA,1.653,0.443,NA,0.437,R
072-2010,-7.28,-1.05,0.063,0.006,y,8/13/2010,2010,Last One Too,,76,193.04,150-199,166,207.5,94.122,,2,Y,Y,Whole,Whole,0.1183,0.1115,1.773,0.419,1.797,0.424,R
265-2010,-8.66,-0.89,0.014,0.005,y,10/20/2010,2010,Annie B,,77,195.58,150-199,165,206.25,93.555,,2,Y,Y,Broken tip,Whole,NA,0.1207,NA,0.44,1.675,0.456,R
192-2010,-8.07,-0.77,0.026,0.078,y,9/21/2010,2010,Melanie Jean,,77,195.58,150-199,198,247.5,112.266,,2,Y,Y,Whole,Whole,0.0942,0.0997,1.525,0.448,1.56,0.432,L
243-2010,-7.89,-1.01,0.007,0.041,y,10/12/2010,2010,Melanie Jeane,,77,195.58,150-199,185,231.25,104.895,F,2,Y,Y,Whole,Broken tip,0.1284,NA,1.763,0.456,NA,0.451,L
217-2010,-7.8,-0.69,0.02,0.052,y,9/23/2010,2010,Sandy Lynn,,77,195.58,150-199,168,210,95.256,F,2,Y,Y,Whole,Whole,0.1133,0.1065,1.696,0.424,1.651,0.429,R
186-2010,-7.71,-0.8,0.038,0.022,y,9/16/2010,2010,Dixie Lynn,,77,195.58,150-199,184,230,104.328,,2,Y,Y,Broken tip,Broken tip,NA,NA,1.501,0.392,NA,0.408,R
149-2010,-7.58,-0.6,0.022,0.013,y,9/8/2010,2010,,,77,195.58,150-199,176,220,99.792,,2,Y,Y,Whole,Whole,0.1059,0.1019,1.656,0.392,1.683,0.376,L
197-2010,-7.06,-0.76,0.024,0.023,y,9/20/2010,2010,Janice Marie,,77,195.58,150-199,203,253.75,115.101,,2,Y,Y,Whole,Whole,0.1104,0.1037,1.645,0.435,1.629,0.44,R
195-2010,-8.31,-0.83,0.033,0.018,y,9/19/2010,2010,Call of Wild,,79,200.66,200-249,248,310,140.616,F,2,Y,Y,Whole,Whole,0.1371,0.1348,1.776,0.464,1.837,0.469,L
221-2010,-7.98,-0.85,0.025,0.012,y,9/24/2010,2010,Janice Marie,,79,200.66,200-249,216,270,122.472,,2,Y,Y,Whole,Whole,0.1288,0.1251,1.653,0.456,1.688,0.477,L
177-2010,-7.8,-0.8,0.021,0.049,y,9/16/2010,2010,Katie Z,,79,200.66,200-249,222,277.5,125.874,,2,Y,Y,Broken tip,Broken tip,NA,NA,NA,0.435,NA,0.453,R
140-2010,-7.43,-1.04,0.015,0.026,y,9/1/2010,2010,Fish Tales,,79,200.66,200-249,200,250,113.4,,2,Y,Y,Whole,Whole,0.1125,0.1087,1.603,0.451,1.595,0.432,L
328-2010,-8.11,-0.61,0.066,0.019,y,6/21/2010,2010,,,80,203.2,200-249,216,270,122.472,M,2,Y,Y,Whole,Whole,0.1601,0.1496,1.912,0.44,1.925,0.451,R
267-2010,-7.91,-0.77,0.008,0.031,y,10/24/2010,2010,Sarah Beth,,80,203.2,200-249,229,286.25,129.843,,2,Y,Y,Whole,Whole,0.1415,0.1403,1.651,0.44,1.717,0.477,R
143-2010,-7.85,-0.95,0.011,0.031,y,9/1/2010,2010,Dixie Lynn,,80,203.2,200-249,158,197.5,89.586,F,2,Y,Y,Broken tip (pieces included),Whole,0.1204,0.1166,NA,0.437,1.73,0.411,L
042-2010,-7.78,-0.67,0.01,0.016,y,8/6/2010,2010,First Lady,,80,203.2,200-249,227,283.75,128.709,,2,Y,Y,Whole,Broken tip (broke after weighing and measuring),0.1153,0.1066,1.549,0.437,1.552,0.451,L
044-2010,-7.42,-0.73,0.034,0.033,y,8/8/2010,2010,Saga II,,80,203.2,200-249,238,297.5,134.946,,2,Y,Y,Whole,Whole,0.1533,0.1462,1.756,0.48,1.709,0.491,R
251-2010,-8.82,-1.36,0.018,0.011,y,10/21/2010,2010,Nantucket Fish,,81,205.74,200-249,231,288.75,130.977,,2,Y,Y,Whole,Broken tip,0.1459,NA,1.792,0.493,1.84,0.427,L
125-2010,-7.59,-1.07,0.033,0.022,y,8/29/2010,2010,Schyler Ann,,81,205.74,200-249,233,291.25,132.111,,2,Y,Y,Broken tip (after weighing),Whole,0.1618,0.1743,NA,0.469,1.907,0.432,L
110-2010,-7.33,-0.74,0.022,0.028,y,8/28/2010,2010,Sandy Lynn,,81,205.74,200-249,251,313.75,142.317,,2,Y,Y,Whole,Broken tip,0.1341,NA,1.816,0.429,NA,0.443,R
060-2010,-7.31,-1.05,0.007,0.063,y,8/10/2010,2010,Working Girl,,81,205.74,200-249,241,301.25,136.647,,2,Y,Y,Whole,Whole,0.132,0.1318,1.725,0.429,1.715,0.421,R
113-2010,-7.29,-0.74,0.01,0.05,y,8/28/2010,2010,Patricia Elaine,,81,205.74,200-249,202,252.5,114.534,F,2,Y,Y,Whole,Broken tip,0.1408,NA,1.789,0.485,NA,0.485,L
081-2010,-7.19,-1.29,0.004,0.053,y,8/15/2010,2010,Fire Fly,,81,205.74,200-249,211,263.75,119.637,,2,Y,Y,Whole,Whole,0.1341,0.1333,1.645,0.44,1.682,0.437,L
052-2010,-8.05,-0.7,0.009,0.012,y,8/9/2010,2010,Dixie Lynn,,82,208.28,200-249,232,290,131.544,,2,Y,Y,Whole,Whole,0.1504,0.1427,1.84,0.472,1.803,0.485,R
009-2010,-7.79,-0.69,0.022,0.047,y,7/25/2010,2010,Jamie Girl,,82,208.28,200-249,204,255,115.668,,2,Y,Y,Broken tip,Broken tip (pieces included),NA,0.1172,NA,0.469,NA,0.475,L
257-2010,-7.46,-0.96,0.01,0.059,y,10/26/2010,2010,Nantucket Fish,,82,208.28,200-249,236,295,133.812,,2,Y,Y,Whole,Whole,0.1238,0.1233,1.629,0.437,1.645,0.442,L
232-2010,-7.85,-0.63,0.021,0.05,y,9/28/2010,2010,Janice Marie,,83,210.82,200-249,262,327.5,148.554,,2,Y,Y,Whole,Whole,0.1305,0.1312,1.659,0.483,1.691,0.475,R
199-2010,-7.4,-0.92,0.006,0.032,y,9/21/2010,2010,,,83,210.82,200-249,287,358.75,162.729,,2,Y,Y,Whole,Whole,0.1497,0.1478,1.76,0.48,1.803,0.464,R
222-2010,-7.35,-0.59,0.009,0.063,y,9/24/2010,2010,Jamie Girl,,83,210.82,200-249,247,308.75,140.049,M,2,Y,Y,Whole,Whole,0.112,0.1132,1.499,0.427,1.616,0.429,R
080-2010,-7.33,-0.72,0.032,0.014,y,8/10/2010,2010,Marlo J,,83,210.82,200-249,242,302.5,137.214,,2,Y,Y,Whole,Whole,0.1483,0.1382,1.891,0.485,1.845,0.493,R
092-2010,-7.24,-0.85,0.024,0.046,y,8/20/2010,2010,Last One Too,,83,210.82,200-249,299,373.75,169.533,,2,Y,Y,Whole,Whole,0.1266,0.1266,1.611,0.493,1.664,0.467,L
322-2010,-7.08,-0.71,0.013,0.065,y,11/3/2010,2010,Katiez,,83,210.82,200-249,245,306.25,138.915,,2,Y,Y,Broken tip,Whole,NA,0.1267,NA,0.421,1.903,0.411,L
010-2010,-8.18,-0.75,0.025,0.04,y,7/27/2010,2010,Sweet Jan,,84,213.36,200-249,247,308.75,140.049,,2,Y,Y,Broken tip,Whole,NA,0.1289,NA,0.491,1.723,0.458,R
061-2010,-7.69,-0.63,0.023,0.028,y,8/10/2010,2010,Lady Victoria,,84,213.36,200-249,244,305,138.348,,2,Y,Y,Whole,Whole,0.129,0.1256,1.752,0.501,1.771,0.477,R
253-2010,-7.56,-0.73,0.019,0.04,y,10/21/2010,2010,Nantucket Fish,,84,213.36,200-249,254,317.5,144.018,,2,Y,Y,Whole,Whole,0.1412,0.1432,1.832,0.432,1.827,0.437,R
330-2010,-7.49,-0.75,0.008,0.041,y,6/25/2010,2010,,,84,213.36,200-249,243,303.75,137.781,,2,Y,Y,Whole,Whole,0.1226,0.1227,1.665,0.453,1.688,0.44,R
138-2010,-7.32,-0.84,0.019,0.024,y,9/1/2010,2010,Last One Too,,84,213.36,200-249,262,327.5,148.554,M,2,Y,Y,Whole,Whole,0.1501,0.1471,1.877,0.507,1.851,0.499,L
175-2010,-8.23,-1.02,0.025,0.03,y,9/12/2010,2010,Sandy Lynn,,85,215.9,200-249,265,331.25,150.255,M,2,Y,Y,Whole,Whole,0.1275,0.1332,1.616,0.483,1.734,0.477,R
261-2010,-8,-0.74,0.011,0.049,y,10/25/2010,2010,Nantucket Fish,,85,215.9,200-249,276,345,156.492,,2,Y,Y,Whole,Whole,0.1368,0.1319,1.677,0.445,1.725,0.469,L
056-2010,-7.89,-1.19,0.055,0.099,y,8/9/2010,2010,Janice Marie,,85,215.9,200-249,246,307.5,139.482,,2,Y,Y,Whole,Whole,0.163,0.1603,1.805,0.523,1.728,0.507,R
139-2010,-7.72,-0.61,0.013,0.007,y,9/1/2010,2010,Fish Tales,,85,215.9,200-249,248,310,140.616,,2,Y,Y,Whole,Whole,0.1238,0.1277,1.747,0.416,1.811,0.429,L
071-2010,-7.7,-0.94,0.047,0.054,y,8/14/2010,2010,Lucky Me,,85,215.9,200-249,280,350,158.76,,2,Y,Y,Whole,Whole,0.1364,0.1378,1.733,0.456,1.791,0.459,R
132-2010,-7.7,-1.07,0.035,0.032,y,9/6/2010,2010,Reel Tight,,85,215.9,200-249,273,341.25,154.791,,2,Y,Y,Broken tip (pieces included),Broken tip  (pieces included),0.1485,0.145,NA,0.491,NA,0.504,R
234-2010,-7.52,-0.69,0.031,0.061,y,9/26/2010,2010,Last One Too,,85,215.9,200-249,256,320,145.152,F,2,Y,Y,Whole,Broken tip,0.1409,NA,1.784,0.451,NA,0.454,R
077-2010,-7.48,-1.23,0.017,0.039,y,8/17/2010,2010,No Name,,85,215.9,200-249,260,325,147.42,,2,Y,Y,Broken tip,Whole,NA,0.1511,NA,0.464,1.925,0.483,R
104-2010,-7.43,-0.59,0.057,0.082,y,8/22/2010,2010,Noone,,85,215.9,200-249,271,338.75,153.657,,2,Y,Y,Whole,Whole,0.1295,0.1297,1.637,0.483,1.669,0.477,R
067-2010,-7.1,-0.63,0.02,0.043,y,8/12/2010,2010,Shelly Marie,,85,215.9,200-249,310,387.5,175.77,,2,Y,Y,Whole,Whole,0.1569,0.155,1.661,0.491,1.669,0.504,L
121-2010,-7.08,-0.82,0.006,0.015,y,8/31/2010,2010,Reel Tight,,85,215.9,200-249,280,350,158.76,,2,Y,Y,Whole,Whole,0.1179,0.1146,1.763,0.429,1.747,0.413,R
099-2010,-6.74,-0.77,0.008,0.029,y,8/19/2010,2010,First Lady,,85,215.9,200-249,260,325,147.42,,2,Y,Y,Broken tip,Broken tip,NA,NA,NA,0.456,NA,0.443,R
248-2010,-8.79,-1.21,0.031,0.007,y,10/14/2010,2010,Sandy Lynn,,86,218.44,200-249,305,381.25,172.935,,2,Y,Y,Whole,Whole,0.1292,0.1351,1.715,0.424,1.776,0.416,R
152-2010,-7.97,-0.88,0.018,0.034,y,9/8/2010,2010,Sandy Lynn,,86,218.44,200-249,271,338.75,153.657,,2,Y,Y,Broken tip,Whole,NA,0.1304,NA,0.435,1.883,0.432,R
216-2010,-7.81,-0.79,0.017,0.011,y,9/23/2010,2010,Dixie Lynn,,86,218.44,200-249,259,323.75,146.853,M,2,Y,Y,Whole,Whole,0.1388,0.138,1.744,0.472,1.795,0.459,L
